marca,modelo,precio_contado,financiacion_disponible,descuento,precio_final,ubicacion,kilometraje,combustible_Diésel,combustible_Eléctrico,combustible_Gas,combustible_Gasolina,combustible_Híbrido,combustible_Híbrido Enchufable,combustible_nan,es_km0,es_demo,transmision,tipo_carroceria,asientos,potencia,puertas,mes_matriculacion2,año_matriculacion2,garantia_limpia,transmision_cod
FORD,F-150 Shelby Supercharged,224000.0,0,0.0,224000.0,Sevilla,1.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,775.0,4.0,2.0,2024.0,24,0
FORD,F-150 Shelby Supercharged,159900.0,0,0.0,159900.0,Sevilla,23125.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,775.0,4.0,1.0,2022.0,12,0
VOLVO,XC40 T2 Core Aut.,31900.0,1,0.0,31900.0,Córdoba,10580.0,False,False,False,True,False,False,False,False,False,Automático,Todo Terreno,5.0,129.0,5.0,2.0,2024.0,12,0
DACIA,Sandero Stepway TCe Extreme Go CVT 67kW,18299.0,1,0.0,18299.0,Sevilla,6000.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,91.0,5.0,2.0,2024.0,24,0
JAGUAR,E-Pace 2.0 I4 R-Dynamic S AWD Aut. 249,25900.0,0,0.0,25900.0,Barcelona,70000.0,False,False,False,True,False,False,False,False,False,Automático,Todo Terreno,5.0,249.0,5.0,9.0,2018.0,12,0
PEUGEOT,308 SW 1.2 PureTech S&S Allure 130,9900.0,1,0.0,9900.0,Barcelona,86000.0,False,False,False,True,False,False,False,False,False,Manual,Stationwagon,5.0,130.0,5.0,4.0,2017.0,12,1
PEUGEOT,2008 1.2 PureTech S&S Active 100,21900.0,1,0.0,21900.0,Barcelona,5.0,False,False,False,True,False,False,False,True,False,Manual,Todo Terreno,5.0,100.0,5.0,7.0,2024.0,24,1
VOLKSWAGEN,Tiguan 1.4 eHibrid R-Line 180kW,43490.0,1,0.0,43490.0,Madrid,1300.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,245.0,5.0,11.0,2023.0,24,0
AUDI,A3 Sportback 35 TFSI Advanced,27990.0,1,0.0,27990.0,Madrid,29824.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,150.0,5.0,9.0,2023.0,12,1
MINI,Countryman COOPER S E ALL4,19990.0,1,0.0,19990.0,Las Palmas,90000.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,224.0,5.0,11.0,2019.0,12,0
RENAULT,Kadjar 1.5dCi Blue Intens EDC 85kW,18490.0,1,0.0,18490.0,Madrid,117827.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,115.0,5.0,10.0,2019.0,0,0
TOYOTA,C-HR 125H Advance,23690.0,1,0.0,23690.0,Barcelona,54019.0,False,False,False,False,True,False,False,False,False,Automático,Todo Terreno,5.0,122.0,5.0,2.0,2021.0,24,0
HONDA,Jazz 1.3 i-VTEC Elegance CVT,13250.0,0,0.0,13250.0,Tenerife,98345.0,False,False,False,True,False,False,False,False,False,Automático,Monovolumen,5.0,102.0,5.0,3.0,2016.0,12,0
MERCEDES-BENZ,Clase GLC Coupé 63 S AMG 4Matic+ Speedshift MCT 9G,88900.0,0,0.0,88900.0,Alicante,73416.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,5.0,510.0,5.0,5.0,2021.0,12,0
CITROEN,C3 Picasso 1.6HDi Collection 90,9900.0,1,0.0,9900.0,Cantabria,117000.0,True,False,False,False,False,False,False,False,False,Manual,Monovolumen,5.0,92.0,5.0,9.0,2014.0,12,1
SAAB,93 Sport Sedan Aero XWD V6 2.8T Auto,13900.0,0,-0.26,10286.0,Madrid,215000.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,0.0,280.0,5.0,1.0,2008.0,12,0
BMW,X2 sDrive 18iA Advantage,33300.0,1,0.0,33300.0,Málaga,7000.0,False,False,False,True,False,False,False,False,False,Automático,Todo Terreno,5.0,136.0,5.0,6.0,2023.0,12,0
NISSAN,Qashqai 1.5dCi N-Connecta 4x2 85kW,23300.0,1,0.0,23300.0,Málaga,22000.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,115.0,5.0,1.0,2021.0,12,1
MINI,Countryman COOPER D AUT.,13800.0,0,0.0,13800.0,Alicante,158000.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,111.0,5.0,7.0,2015.0,0,0
CHEVROLET,Captiva 2.0VCDi LTX Sport Aut.,4600.0,0,0.0,4600.0,Asturias,273250.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,7.0,150.0,5.0,5.0,2008.0,0,0
TOYOTA,C-HR 125H Advance,25900.0,0,-0.1,23310.0,Cádiz,17224.0,False,False,False,False,True,False,False,False,False,Automático,Todo Terreno,5.0,122.0,5.0,3.0,2023.0,33,0
TOYOTA,RAV-4 RAV4 1.8 5p Luna,8750.0,0,0.0,8750.0,Alicante,122669.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,5.0,2002.0,12,1
MERCEDES-BENZ,Clase A 200 7G-DCT,30500.0,1,0.0,30500.0,Alicante,44800.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,163.0,5.0,8.0,2022.0,12,0
SMART,Forfour EQ,12490.0,0,0.0,12490.0,Las Palmas,26000.0,False,True,False,False,False,False,False,False,False,Automático,Berlina,4.0,82.0,5.0,4.0,2020.0,12,0
FORD,Fiesta ST-Line,19800.0,1,0.0,19800.0,Tarragona,49479.0,False,False,False,False,True,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,3.0,2023.0,12,1
TESLA,Model 3 Gran Autonomía 4WD,28800.0,1,0.0,28800.0,Madrid,76703.0,False,True,False,False,False,False,False,False,False,Automático,Desconocido,0.0,476.0,4.0,2.0,2021.0,0,0
VOLKSWAGEN,Golf 2.0TDI CR BMT Sport 150,11990.0,0,0.0,11990.0,Toledo,250000.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,150.0,5.0,4.0,2014.0,12,1
SEAT,Ateca 1.5 EcoTSI S&S FR,20990.0,1,0.0,20990.0,Toledo,46000.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,150.0,5.0,6.0,2019.0,12,1
VOLKSWAGEN,Polo 1.4TSI GTI DSG,10590.0,1,0.0,10590.0,Madrid,149000.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,179.0,3.0,1.0,2012.0,12,0
CITROEN,C4 Picasso 1.6 VTi Seduction,7800.0,0,0.0,7800.0,Madrid,163000.0,False,False,False,True,False,False,False,False,False,Manual,Monovolumen,5.0,120.0,5.0,5.0,2014.0,12,1
CITROEN,C3 1.1i Furio,4650.0,0,0.0,4650.0,Alicante,60000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,61.0,5.0,5.0,2005.0,0,1
CUPRA,León 1.5 ETSI DSG 110Kw,26450.0,1,0.0,26450.0,Barcelona,17541.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,150.0,5.0,4.0,2024.0,24,0
PORSCHE,Boxster GTS 4.0 PDK,109990.0,0,0.0,109990.0,Barcelona,33000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,2.0,400.0,2.0,5.0,2023.0,12,0
JEEP,Avenger 1.2 TURBO 100cv SUMMIT,22950.0,1,0.0,22950.0,Barcelona,29000.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,100.0,5.0,1.0,2024.0,12,1
JEEP,Avenger 1.2 TURBO 100cv ALTITUDE,20900.0,1,0.0,20900.0,Barcelona,8500.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,100.0,5.0,8.0,2023.0,12,1
AUDI,Q3 Sportback 35 TDI S line S tronic,37990.0,1,0.0,37990.0,Sevilla,77000.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,150.0,5.0,1.0,2022.0,12,0
VOLKSWAGEN,Passat 1.6TDI DSG7,16990.0,1,0.0,16990.0,Sevilla,137000.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,120.0,4.0,1.0,2021.0,12,0
VOLKSWAGEN,Polo 1.0 TSI 70kW,15490.0,1,0.0,15490.0,Barcelona,35000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,95.0,5.0,5.0,2022.0,12,1
HYUNDAI,Tucson 1.6 CRDI Maxx 4x2,27000.0,0,0.0,27000.0,Alicante,78184.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,115.0,5.0,1.0,2023.0,12,1
AUDI,Q7 50 TDI Black line quattro,113900.0,1,0.0,113900.0,Madrid,10.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,286.0,5.0,5.0,2025.0,36,0
MERCEDES-BENZ,Clase GLC 63 S AMG Performance,128900.0,0,0.0,128900.0,Madrid,14900.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,680.0,5.0,7.0,2024.0,24,0
BMW,XM Label Red,172900.0,1,0.0,172900.0,Barcelona,12900.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,585.0,5.0,4.0,2024.0,24,0
BMW,Z4 M40i,48900.0,1,0.0,48900.0,Tenerife,35000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,2.0,340.0,2.0,1.0,2020.0,12,0
MERCEDES-BENZ,Clase GLE 350de Coupe 4Matic,59900.0,1,0.0,59900.0,Tenerife,81000.0,False,False,False,False,False,False,True,False,False,Automático,Desconocido,0.0,320.0,5.0,1.0,2021.0,12,0
PORSCHE,Macan Todoterreno 265cv Automático de 5 Puertas,76900.0,1,0.0,76900.0,Tenerife,48000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,265.0,5.0,1.0,2022.0,12,0
FORD,Focus 1.6TDCi Trend 109,5999.0,0,0.0,5999.0,Alicante,149842.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,109.0,5.0,7.0,2009.0,12,1
LAMBORGHINI,Urus Performante,375900.0,0,0.0,375900.0,Barcelona,4000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,666.0,5.0,4.0,2024.0,24,0
BMW,Serie 5 M550iA xDrive,43900.0,1,0.0,43900.0,Lugo,156000.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,462.0,4.0,5.0,2017.0,60,0
JEEP,Compass 1.3 Gse T4 Limited 4x2 130,23990.0,0,0.0,23990.0,Madrid,56980.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,130.0,5.0,3.0,2022.0,12,1
PORSCHE,Cayman Deportivo 265cv Manual de 3 Puertas,30900.0,1,0.0,30900.0,Barcelona,168000.0,True,False,False,False,False,False,False,False,False,Manual,Desconocido,0.0,265.0,3.0,4.0,2008.0,12,1
MERCEDES-BENZ,Clase CLA 220CDI Urban 7G-DCT,21350.0,0,0.0,21350.0,Toledo,139786.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,5.0,170.0,4.0,10.0,2014.0,12,0
AUDI,Q7 60 TFSIe S line quattro tiptronic,49990.0,1,-0.06,46990.6,Madrid,85000.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,462.0,5.0,12.0,2020.0,12,0
MERCEDES-BENZ,Clase CLS 320CDI Grand Edition Aut.,17500.0,1,0.0,17500.0,Albacete,155000.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,4.0,224.0,4.0,5.0,2010.0,12,0
AUDI,e-tron 50 quattro,29999.0,1,0.0,29999.0,Cáceres,84000.0,False,True,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,313.0,5.0,12.0,2020.0,12,0
CITROEN,C4 1.2 PureTech Plus S&S 130,20990.0,1,0.0,20990.0,Girona,10.0,False,False,False,True,False,False,False,True,False,Manual,Berlina,5.0,130.0,5.0,10.0,2024.0,36,1
FIAT,500X 1.0 Firefly S&S Hey Google,16790.0,0,0.0,16790.0,Madrid,30100.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,120.0,5.0,8.0,2021.0,12,1
SEAT,Altea 1.6 TDI 105CV 5P,6990.0,0,0.0,6990.0,Girona,138000.0,True,False,False,False,False,False,False,False,False,Manual,Monovolumen,0.0,105.0,5.0,5.0,2013.0,12,1
CITROEN,C4 Grand Spacetourer 1.5BlueHDI S&S Live 130,7490.0,1,0.0,7490.0,Alicante,261362.0,True,False,False,False,False,False,False,False,False,Manual,Monovolumen,7.0,130.0,5.0,3.0,2019.0,12,1
KGM / SSANGYONG,Torres G15 Life Aut.,29400.0,1,0.0,29400.0,Madrid,5170.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,163.0,5.0,5.0,2024.0,0,0
HYUNDAI,Bayon 1.2 MPI Maxx,14990.0,1,0.0,14990.0,Madrid,93899.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,84.0,5.0,4.0,2022.0,0,1
FORD,Focus 1.0 Ecoboost MHEV 92kW ST-Line,19900.0,1,0.0,19900.0,Madrid,70876.0,False,False,False,False,True,False,False,False,False,Manual,Desconocido,0.0,125.0,5.0,3.0,2023.0,0,1
JEEP,Compass LIMITED TURBO 130CV,23000.0,1,0.0,23000.0,Islas Baleares,43757.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,130.0,5.0,7.0,2021.0,12,1
FIAT,500 E ELECTRICO 320KM 118CV ICON,21800.0,1,0.0,21800.0,Islas Baleares,1.0,False,True,False,False,False,False,False,False,False,Automático,Desconocido,0.0,118.0,3.0,1.0,2023.0,12,0
MERCEDES-BENZ,Clase GLA 200 AMG Line/ Paquete Premium,34900.0,1,0.0,34900.0,Barcelona,62587.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,163.0,5.0,11.0,2020.0,12,0
LYNK & CO,01 1.5T PHEV,25600.0,0,0.0,25600.0,Valladolid,50100.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,261.0,5.0,5.0,2023.0,12,0
PORSCHE,Panamera 4 Sport Turismo,59900.0,1,0.0,59900.0,Málaga,152900.0,False,False,False,True,False,False,False,False,False,Automático,Stationwagon,5.0,330.0,5.0,2.0,2018.0,11,0
CITROEN,C3 1.6BlueHDi S&S Business 75,9590.0,1,-0.07,8918.699999999999,Tarragona,78000.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,75.0,5.0,6.0,2018.0,12,1
CADILLAC,CT5 CT5-V Blackwing,152500.0,0,0.0,152500.0,Sevilla,9444.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,668.0,4.0,9.0,2024.0,12,0
BMW,Serie 1 120dA M Sport Pro,33900.0,0,0.0,33900.0,Alicante,48100.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,190.0,5.0,4.0,2023.0,12,0
CADILLAC,CT5 CT5-V 3.0 Twin Turbo V6,114000.0,0,0.0,114000.0,Sevilla,1.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,0.0,360.0,4.0,1.0,2025.0,24,0
MERCEDES-BENZ,Clase GLA 200d 8G-DCT,33990.0,1,0.0,33990.0,Barcelona,86500.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,150.0,5.0,6.0,2021.0,12,0
NISSAN,Qashqai 1.3 DIG-T mHEV 12V N-Connecta 4x2 103kW,23900.0,1,0.0,23900.0,Álava,69000.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,140.0,5.0,11.0,2021.0,12,1
RENAULT,Espace 1.6dCi Energy Zen 96kW,17900.0,1,0.0,17900.0,Almería,124000.0,True,False,False,False,False,False,False,False,False,Manual,Monovolumen,5.0,130.0,5.0,5.0,2017.0,60,1
OPEL,Corsa 1.2T XHL S/S GS 100,14900.0,1,0.0,14900.0,Zaragoza,21700.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,100.0,5.0,6.0,2023.0,12,1
NISSAN,Micra 1.2 25 Aniversario,3990.0,1,0.0,3990.0,Madrid,140000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,80.0,5.0,10.0,2008.0,12,1
MASERATI,Levante 330 GT Aut.,72900.0,1,-0.01,72171.0,Madrid,40000.0,False,False,False,False,True,False,False,False,False,Automático,Todo Terreno,5.0,330.0,5.0,1.0,2022.0,24,0
PEUGEOT,308 SW 1.6 BlueHDi Style S 120 EAT6,9990.0,1,0.0,9990.0,Madrid,134000.0,True,False,False,False,False,False,False,False,False,Automático,Stationwagon,5.0,120.0,5.0,1.0,2017.0,12,0
KIA,Niro 1.6 HEV Concept,17900.0,0,0.0,17900.0,Madrid,128000.0,False,False,False,False,True,False,False,False,False,Automático,Todo Terreno,5.0,141.0,5.0,10.0,2021.0,12,0
SEAT,Ateca 1.6TDI CR S&S Ecomotive Style,19500.0,0,0.0,19500.0,Málaga,79890.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,115.0,5.0,5.0,2018.0,12,1
PEUGEOT,308 SW 1.6 BlueHDi Allure 120,7999.0,0,0.0,7999.0,Madrid,230000.0,True,False,False,False,False,False,False,False,False,Manual,Stationwagon,5.0,120.0,5.0,7.0,2015.0,12,1
MERCEDES-BENZ,Clase E Coupé 250BlueTec 9G-Tronic,18990.0,0,0.0,18990.0,Madrid,189999.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,4.0,204.0,2.0,11.0,2014.0,12,0
RENAULT,Kadjar 1.7dCi Blue Zen 4x4 110kW,17500.0,0,0.0,17500.0,Sevilla,119000.0,True,False,False,False,False,False,False,False,False,Manual,Todo Terreno,5.0,150.0,5.0,1.0,2020.0,12,1
BMW,Z3 Deportivo  Automático de 3 Puertas,9990.0,0,0.0,9990.0,Tenerife,145000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,2.0,193.0,3.0,11.0,1999.0,12,0
AUDI,A5 S5 Cabrio 3.0 TFSI S-Tronic,19999.0,1,-0.13,17399.13,Salamanca,180000.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,4.0,333.0,2.0,5.0,2010.0,12,0
VOLKSWAGEN,"T-Roc TROC ""MAS""1.0 TSI 81 KW (110 CV) 6 VEL.",30900.0,1,0.0,30900.0,Murcia,11982.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,81.0,5.0,6.0,2024.0,24,1
MERCEDES-BENZ,Clase E Coupé 200 7G Plus,30990.0,0,-0.02,30370.2,Cantabria,93750.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,4.0,184.0,2.0,10.0,2017.0,12,0
BMW,Serie 1 116i,15500.0,0,0.0,15500.0,Valladolid,71000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,109.0,3.0,4.0,2019.0,12,1
BMW,Serie 7 730dA,65000.0,1,0.0,65000.0,Alicante,88000.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,286.0,4.0,3.0,2022.0,24,0
BMW,i4 eDrive40,57000.0,1,0.0,57000.0,Alicante,4500.0,False,True,False,False,False,False,False,False,True,Automático,Berlina,5.0,340.0,5.0,11.0,2024.0,24,0
VOLKSWAGEN,T-Roc Todoterreno  Manual de 5 Puertas,19890.0,1,0.0,19890.0,Córdoba,148000.0,True,False,False,False,False,False,False,False,False,Manual,Desconocido,5.0,115.0,5.0,10.0,2019.0,12,1
FORD,Explorer 3.0 PHEV ST-Line AWD 450,46900.0,0,0.0,46900.0,Barcelona,78000.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,7.0,450.0,4.0,3.0,2021.0,12,0
TOYOTA,Aygo 70 City,8790.0,0,0.0,8790.0,Cádiz,69900.0,False,False,False,True,False,False,False,False,False,Manual,Pequeño,0.0,68.0,5.0,4.0,2014.0,0,1
PORSCHE,Macan GTS Aut.,109900.0,0,0.0,109900.0,Barcelona,26400.0,False,False,False,True,False,False,False,False,False,Automático,Todo Terreno,5.0,440.0,5.0,10.0,2021.0,12,0
FIAT,500L 1.6Mjt II S&S 120th Aniversario,14900.0,1,0.0,14900.0,Cádiz,67621.0,True,False,False,False,False,False,False,False,False,Manual,Monovolumen,5.0,120.0,5.0,10.0,2019.0,12,1
RAM,1500 Rebel Todoterreno  Automático de 4 Puertas,108300.0,0,0.0,108300.0,Sevilla,1.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,5.0,420.0,4.0,2.0,2025.0,24,0
MAZDA,6 W. 2.2DE Style+ (Navi) 110kW,11990.0,1,0.0,11990.0,Tarragona,155000.0,True,False,False,False,False,False,False,False,False,Manual,Stationwagon,5.0,150.0,5.0,3.0,2015.0,12,1
AUDI,Q3 45 TFSIe Advanced S-tronic,40000.0,1,0.0,40000.0,Álava,13000.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,245.0,5.0,10.0,2022.0,12,0
TOYOTA,bZ4X 200E 4X2 Advance,33990.0,1,0.0,33990.0,Vizcaya,9125.0,False,True,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,204.0,5.0,2.0,2024.0,24,0
VOLKSWAGEN,Golf 2.0 TSI GTI DSG 195kW,43490.0,1,0.0,43490.0,Madrid,10000.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,266.0,5.0,9.0,2024.0,24,0
MINI,Cooper 3 Puertas JCW,46990.0,1,0.0,46990.0,Las Palmas,100.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,4.0,231.0,3.0,1.0,2025.0,36,0
FORD,EcoSport 1.0 EcoBoost Active 125,17900.0,1,0.0,17900.0,Alicante,57250.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,125.0,5.0,8.0,2022.0,12,1
TOYOTA,C-HR 180H Advance Luxury,25990.0,1,0.0,25990.0,Vizcaya,55594.0,False,False,False,False,True,False,False,False,False,Automático,Todo Terreno,5.0,184.0,5.0,11.0,2020.0,24,0
FORD,Puma 1.0 EcoBoost MHEV ST-Line 125,16900.0,1,0.0,16900.0,Madrid,20262.0,False,False,False,True,False,False,False,False,False,Manual,Todo Terreno,5.0,125.0,5.0,4.0,2020.0,12,1
PORSCHE,Boxster Style Edition PDK,88700.0,0,0.0,88700.0,Vizcaya,1900.0,False,False,False,True,False,False,False,False,False,Automático,Desconocido,2.0,300.0,2.0,1.0,2024.0,24,0
MERCEDES-BENZ,Clase GLB 200 d 4MATIC,52900.0,1,0.0,52900.0,Valencia,19506.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,5.0,150.0,5.0,3.0,2024.0,24,0
MERCEDES-BENZ,Clase A 180 d,31900.0,1,0.0,31900.0,Valencia,11968.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,5.0,116.0,5.0,8.0,2022.0,24,0
MERCEDES-BENZ,Clase C 220 d Berlina,46900.0,1,0.0,46900.0,Valencia,13236.0,True,False,False,False,False,False,False,False,False,Automático,Desconocido,5.0,200.0,4.0,2.0,2024.0,24,0
FIAT,500 0.9 Lounge,9800.0,0,0.0,9800.0,Islas Baleares,93000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,4.0,85.0,3.0,12.0,2018.0,12,1
AUDI,A3 RS3 Sportback quattro S tronic 294kW,57750.0,1,0.0,57750.0,Álava,58000.0,False,False,False,True,False,False,False,False,False,Automático,Berlina,5.0,400.0,5.0,1.0,2023.0,12,0
SEAT,León Gasolina/Gas  1.5 TGI GNC S&S Style 130,13880.0,1,0.0,13880.0,Cáceres,72150.0,False,False,False,True,False,False,False,False,False,Manual,Desconocido,0.0,130.0,5.0,8.0,2020.0,12,1
PEUGEOT,3008 1.6e-HDI Blue L FAP Premium CMP 112,5490.0,1,0.0,5490.0,Tarragona,203000.0,True,False,False,False,False,False,False,False,False,Automático,Monovolumen,5.0,112.0,5.0,1.0,2011.0,12,0
LEXUS,UX 250h Premium 2WD,28500.0,1,0.0,28500.0,Vizcaya,54730.0,False,False,False,False,True,False,False,False,False,Automático,Desconocido,0.0,0.0,5.0,3.0,2021.0,24,0
TOYOTA,Auris 1.4D-4D,4700.0,0,0.0,4700.0,Murcia,254000.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,90.0,5.0,10.0,2008.0,12,1
VOLKSWAGEN,Passat Variant 2.0TDI Advance 110kW,20900.0,1,0.0,20900.0,Vizcaya,75000.0,True,False,False,False,False,False,False,False,False,Manual,Stationwagon,5.0,150.0,5.0,5.0,2018.0,12,1
KIA,Rio 1.0 T-GDi Eco-Dynamics Concept,14699.0,1,0.0,14699.0,Vizcaya,56000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,100.0,5.0,10.0,2021.0,12,1
FORD,Fiesta 1.25 Trend,6990.0,0,0.0,6990.0,Barcelona,138000.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,5.0,60.0,5.0,3.0,2014.0,12,1
NISSAN,Qashqai 1.3 DIG-T MHEV 103KW N-CONNECTA 5P,26890.0,1,0.0,26890.0,Sevilla,16901.0,False,False,False,False,True,False,False,False,False,Manual,Desconocido,0.0,140.0,5.0,1.0,2024.0,12,1
VOLKSWAGEN,Touran 2.0TDI Advance DSG,10999.0,1,0.0,10999.0,Almería,210000.0,True,False,False,False,False,False,False,False,False,Automático,Monovolumen,5.0,140.0,5.0,12.0,2013.0,12,0
BMW,Serie 1 118d M Sport,22999.0,1,0.0,22999.0,Almería,115000.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,150.0,5.0,7.0,2020.0,12,1
AUDI,A6 3.0TDI quattro Tiptronic,8800.0,1,0.0,8800.0,Palencia,133447.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,225.0,4.0,9.0,2004.0,12,0
OPEL,Astra 1.6CDTi S/S Selective 110,7900.0,1,-0.11,7031.0,Córdoba,126310.0,True,False,False,False,False,False,False,False,False,Manual,Berlina,5.0,110.0,5.0,2.0,2014.0,12,1
AUDI,A6 RS6 Avant TFSI quattro Tiptronic,98900.0,0,0.0,98900.0,Alicante,56000.0,False,False,False,True,False,False,False,False,False,Automático,Stationwagon,5.0,600.0,5.0,5.0,2021.0,12,0
AUDI,Q7 SQ7 4.0 TDI quattro tiptronic,54990.0,1,-0.02,53890.2,Badajoz,102000.0,True,False,False,False,False,False,False,False,False,Automático,Todo Terreno,5.0,435.0,5.0,8.0,2017.0,12,0
MERCEDES-BENZ,Clase CLA Shooting Brake 45 AMG 4M 7G-DCT,33990.0,1,0.0,33990.0,Badajoz,124000.0,False,False,False,True,False,False,False,False,False,Automático,Stationwagon,5.0,360.0,5.0,10.0,2015.0,12,0
RENAULT,Captur E-TECH Híbrido Enchufable Zen 117kW,21990.0,1,0.0,21990.0,Madrid,55855.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,160.0,5.0,7.0,2021.0,12,0
RENAULT,Captur E-TECH Híbrido Enchufable Zen 117kW,20690.0,1,0.0,20690.0,Madrid,79279.0,False,False,False,False,False,True,False,False,False,Automático,Todo Terreno,5.0,160.0,5.0,4.0,2021.0,12,0
AUDI,A3 2.0TDI CD S line edition S-T 150,15990.0,1,0.0,15990.0,Sevilla,155000.0,True,False,False,False,False,False,False,False,False,Automático,Berlina,5.0,150.0,3.0,1.0,2015.0,12,0
FORD,Focus Berlina  Manual de 5 Puertas,4950.0,0,0.0,4950.0,Alicante,210000.0,True,False,False,False,False,False,False,False,False,Manual,Desconocido,5.0,110.0,5.0,6.0,2009.0,12,1
OPEL,Adam 1.4 XER S&S Slam,10990.0,1,0.0,10990.0,Tarragona,126669.0,False,False,False,True,False,False,False,False,False,Manual,Berlina,4.0,100.0,3.0,3.0,2015.0,12,1
